place_id,logainm_id,name_en,place_type,county,barony,civil_parish,latitude,longitude,logainm_url,notes
1,111482,Tullynaught,ded,Donegal,,,54.64555464590881,-8.043578345672014,https://www.logainm.ie/en/111482,
2,14271,Aghlem,townland,Donegal,,,54.656709868801784,-8.021811403837578,https://www.logainm.ie/en/14271,
3,14272,Ardnagassan,townland,Donegal,,,54.65148201566514,-8.041187350516738,https://www.logainm.ie/en/14272,
4,14273,Drumadoney,townland,Donegal,,,54.65895495910957,-8.036523966278136,https://www.logainm.ie/en/14273,
5,14274,Drumcroagh,townland,Donegal,,,54.64930477455988,-8.059091938978147,https://www.logainm.ie/en/14274,
6,14275,Druminardagh,townland,Donegal,,,54.644538183879554,-8.024656347008648,https://www.logainm.ie/en/14275,
7,14276,Drummenny Lower,townland,Donegal,,,54.651335342333596,-8.083376529126403,https://www.logainm.ie/en/14276,
8,14277,Drummenny Middle,townland,Donegal,,,54.65339220415258,-8.065851828016408,https://www.logainm.ie/en/14277,
9,14278,Drummenny Upper,townland,Donegal,,,54.658618621632556,-8.05221491911212,https://www.logainm.ie/en/14278,
10,14279,Drumnahoul,townland,Donegal,,,54.65567247109422,-8.046801569018859,https://www.logainm.ie/en/14279,
11,14280,Finnadoos,townland,Donegal,,,54.66605527224653,-8.026379144793653,https://www.logainm.ie/en/14280,
12,14281,Leghawny,townland,Donegal,,,54.66256119880154,-8.007576429235472,https://www.logainm.ie/en/14281,
13,14282,Loughcuill,townland,Donegal,,,54.65143052315233,-7.966366926628516,https://www.logainm.ie/en/14282,
14,14283,Loughkip,townland,Donegal,,,54.649976900785234,-7.995206944990984,https://www.logainm.ie/en/14283,
15,14284,Meenadreen,townland,Donegal,,,54.65847435331013,-7.983220693643983,https://www.logainm.ie/en/14284,
16,14285,Tawnagh,townland,Donegal,,,54.643841350230005,-8.05546994008739,https://www.logainm.ie/en/14285,
17,14286,Tullyloskan,townland,Donegal,,,54.64411493161979,-8.071389650872769,https://www.logainm.ie/en/14286,
18,14287,Whitehill,townland,Donegal,,,54.6397469471964,-8.07654684199413,https://www.logainm.ie/en/14287,
19,14288,Barnesyneilly,townland,Donegal,Tirhugh,Drumhome,54.66651353687088,-7.948860241483583,https://www.logainm.ie/en/14288,
20,14289,Copany,townland,Donegal,Tirhugh,Drumhome,54.64785809344684,-8.031866089803021,https://www.logainm.ie/en/14289,
21,14290,Croaghnakern,townland,Donegal,Tirhugh,Drumhome,54.66802251680322,-7.919629575176964,https://www.logainm.ie/en/14290,
22,14291,Croaghnameal,townland,Donegal,Tirhugh,Drumhome,54.651530891557755,-7.959019619502319,https://www.logainm.ie/en/14291,
23,14292,Cuilly,townland,Donegal,Tirhugh,Drumhome,54.639399562879824,-8.050936908315729,https://www.logainm.ie/en/14292,
24,14293,Drumlask,townland,Donegal,Tirhugh,Drumhome,54.63914848779389,-8.065615275073613,https://www.logainm.ie/en/14293,
25,14294,Legacurry,townland,Donegal,Tirhugh,Drumhome,54.624581803896305,-8.121673603291555,https://www.logainm.ie/en/14294,
26,14295,Moyne,townland,Donegal,Tirhugh,Drumhome,54.63249446390411,-8.06020338795152,https://www.logainm.ie/en/14295,
27,14296,Mullans,townland,Donegal,Tirhugh,Drumhome,54.63445139640165,-8.070911870844332,https://www.logainm.ie/en/14296,
28,14297,Rooney's Island,townland,Donegal,Tirhugh,Drumhome,54.62355154317861,-8.13995394431129,https://www.logainm.ie/en/14297,
29,14298,Rossmore,townland,Donegal,Tirhugh,Drumhome,54.625024457811854,-8.10861043957741,https://www.logainm.ie/en/14298,
30,14299,Skreen,townland,Donegal,Tirhugh,Drumhome,54.643906017617454,-8.008659731350736,https://www.logainm.ie/en/14299,
31,14300,Straness,townland,Donegal,Tirhugh,Drumhome,54.663890239594345,-7.979409314688271,https://www.logainm.ie/en/14300,
32,14301,Tullyearl,townland,Donegal,Tirhugh,Drumhome,54.629242847830525,-8.112234170301221,https://www.logainm.ie/en/14301,
33,14302,Tullyleague or Tullybrook,townland,Donegal,Tirhugh,Drumhome,54.63070364106823,-8.081412547097738,https://www.logainm.ie/en/14302,
34,14303,Tullymornin,townland,Donegal,Tirhugh,Drumhome,54.63047967892829,-8.094751986284713,https://www.logainm.ie/en/14303,
